,trapid,week,wnv_prob,pct0,pct10,pct100,pct20,pct30,pct40,pct50,pct60,pct70,pct80,pct90
0,T1,1,0.048428031395201465,1,0,0,0,0,0,0,0,0,0,0
1,T1,2,0.7768572888257361,1,1,0,1,1,1,1,1,1,0,0
2,T1,3,0.049502631942242914,1,0,0,0,0,0,0,0,0,0,0
3,T1,4,0.24067707125926896,1,1,0,1,0,0,0,0,0,0,0
4,T1,5,0.8319569876169101,1,1,0,1,1,1,1,1,1,1,0
5,T1,6,0.22739941883687398,1,1,0,1,0,0,0,0,0,0,0
6,T1,7,0.6096361848677037,1,1,0,1,1,1,1,1,0,0,0
7,T1,8,0.8141284177450048,1,1,0,1,1,1,1,1,1,1,0
8,T1,9,0.8034076968347076,1,1,0,1,1,1,1,1,1,1,0
9,T1,10,0.4531165203677612,1,1,0,1,1,1,0,0,0,0,0
10,T1,11,0.10420640729107633,1,1,0,0,0,0,0,0,0,0,0
11,T1,12,0.10713640186977769,1,1,0,0,0,0,0,0,0,0,0
12,T1,13,0.332677639851763,1,1,0,1,1,0,0,0,0,0,0
13,T1,14,0.7634302412174393,1,1,0,1,1,1,1,1,1,0,0
14,T1,15,0.5036729607571784,1,1,0,1,1,1,1,0,0,0,0
15,T1,16,0.7794242632117275,1,1,0,1,1,1,1,1,1,0,0
16,T1,17,0.708733551218566,1,1,0,1,1,1,1,1,1,0,0
17,T1,18,0.2914014469977446,1,1,0,1,0,0,0,0,0,0,0
18,T1,19,0.5851278005643533,1,1,0,1,1,1,1,0,0,0,0
19,T1,20,0.8348274998156152,1,1,0,1,1,1,1,1,1,1,0
20,T1,21,0.1492907938290401,1,1,0,0,0,0,0,0,0,0,0
21,T1,22,0.07253895133814237,1,0,0,0,0,0,0,0,0,0,0
22,T1,23,0.083417180692816,1,0,0,0,0,0,0,0,0,0,0
23,T1,24,0.1341497187656261,1,1,0,0,0,0,0,0,0,0,0
24,T1,25,0.7065427274348762,1,1,0,1,1,1,1,1,1,0,0
25,T1,26,0.6234029010767761,1,1,0,1,1,1,1,1,0,0,0
26,T1,27,0.6900615487777431,1,1,0,1,1,1,1,1,0,0,0
27,T1,28,0.9851382100012553,1,1,0,1,1,1,1,1,1,1,1
28,T1,29,0.7050101652069188,1,1,0,1,1,1,1,1,1,0,0
29,T1,30,0.20201681672747362,1,1,0,1,0,0,0,0,0,0,0
30,T1,31,0.5682045873596451,1,1,0,1,1,1,1,0,0,0,0
31,T1,32,0.38371117728026527,1,1,0,1,1,0,0,0,0,0,0
32,T1,33,0.3585672941592929,1,1,0,1,1,0,0,0,0,0,0
33,T1,34,0.5495386332018639,1,1,0,1,1,1,1,0,0,0,0
34,T1,35,0.6568153091992652,1,1,0,1,1,1,1,1,0,0,0
35,T1,36,0.16941459444634033,1,1,0,0,0,0,0,0,0,0,0
36,T1,37,0.9499175095861451,1,1,0,1,1,1,1,1,1,1,1
37,T1,38,0.20830557200590172,1,1,0,1,0,0,0,0,0,0,0
38,T1,39,0.5058192144923624,1,1,0,1,1,1,1,0,0,0,0
39,T1,40,0.9116959748443636,1,1,0,1,1,1,1,1,1,1,1
40,T1,41,0.17629014139107835,1,1,0,0,0,0,0,0,0,0,0
41,T1,42,0.4683700688608815,1,1,0,1,1,1,0,0,0,0,0
42,T1,43,0.5375247217460266,1,1,0,1,1,1,1,0,0,0,0
43,T1,44,0.9585047118721459,1,1,0,1,1,1,1,1,1,1,1
44,T1,45,0.6599583628654851,1,1,0,1,1,1,1,1,0,0,0
45,T1,46,0.36566369893332495,1,1,0,1,1,0,0,0,0,0,0
46,T1,47,0.47450273776193885,1,1,0,1,1,1,0,0,0,0,0
47,T1,48,0.5933731770353088,1,1,0,1,1,1,1,0,0,0,0
48,T1,49,0.5778545300018495,1,1,0,1,1,1,1,0,0,0,0
49,T1,50,0.05218699222459544,1,0,0,0,0,0,0,0,0,0,0
50,T1,51,0.06587687383421825,1,0,0,0,0,0,0,0,0,0,0
